MatchDateSK,Team 1,Team 2,Winner,Margin,Ground,Match Date,MatchID,IsSemiFinal,IsFinal,Season_Year
20150102,Hurricanes,Heat,Hurricanes,6 wickets,Hobart,2-Jan-15,756761,0,0,2014
20150103,Melb Reneg,Melb Stars,Melb Stars,112 runs,Melbourne (Docklands),3-Jan-15,756763,0,0,2014
20150104,Heat,Strikers,Strikers,5 wickets,Brisbane,4-Jan-15,756765,0,0,2014
20150105,Melb Stars,Syd Sixers,tied,,Melbourne,5-Jan-15,756767,0,0,2014
20150106,Strikers,Scorchers,Scorchers,18 runs,Adelaide,6-Jan-15,756769,0,0,2014
20150107,Hurricanes,Melb Reneg,Melb Reneg,37 runs,Hobart,7-Jan-15,756789,0,0,2014
20150108,Scorchers,Heat,Scorchers,8 wickets,Perth,8-Jan-15,756773,0,0,2014
20150109,Syd Thunder,Hurricanes,Hurricanes,5 wickets,Sydney,9-Jan-15,999999,0,0,2014
20150110,Melb Stars,Melb Reneg,Melb Stars,3 wickets,Melbourne,10-Jan-15,756777,0,0,2014
20150111,Heat,Syd Sixers,Syd Sixers,6 wickets,Brisbane,11-Jan-15,756781,0,0,2014
20150111,Hurricanes,Scorchers,Scorchers,18 runs,Hobart,11-Jan-15,756779,0,0,2014
20150112,Strikers,Syd Thunder,no result,,Adelaide,12-Jan-15,756783,0,0,2014
20150113,Melb Reneg,Heat,Melb Reneg,5 wickets,Melbourne (Docklands),13-Jan-15,756785,0,0,2014
20150114,Syd Sixers,Strikers,Strikers,23 runs,Sydney,14-Jan-15,756787,0,0,2014
20150115,Heat,Hurricanes,Heat,18 runs,Brisbane,15-Jan-15,756797,0,0,2014
20150117,Syd Thunder,Melb Stars,Melb Stars,8 wickets,Sydney,17-Jan-15,756791,0,0,2014
20150119,Melb Reneg,Strikers,Strikers,22 runs,Melbourne (Docklands),19-Jan-15,756793,0,0,2014
20150121,Melb Stars,Scorchers,Melb Stars,3 wickets,Melbourne,21-Jan-15,756795,0,0,2014
20150122,Syd Sixers,Syd Thunder,Syd Sixers,4 wickets,Sydney,22-Jan-15,756775,0,0,2014
20150124,Strikers,Syd Sixers,Syd Sixers,87 runs,Adelaide,24-Jan-15,756799,1,0,2014
20150125,Scorchers,Melb Stars,Scorchers,18 runs,Perth,25-Jan-15,756801,1,0,2014
20150128,Scorchers,Syd Sixers,Scorchers,4 wickets,Canberra,28-Jan-15,756803,0,1,2014
20151217,Syd Thunder,Syd Sixers,Syd Thunder,36 runs,Sydney,17-Dec-15,999999,0,0,2015
20151218,Strikers,Melb Stars,Strikers,19 runs,Adelaide,18-Dec-15,897697,0,0,2015
20151219,Heat,Melb Reneg,Melb Reneg,7 wickets,Brisbane,19-Dec-15,897699,0,0,2015
20151220,Melb Stars,Syd Thunder,Syd Thunder,1 run,Melbourne,20-Dec-15,999999,0,0,2015
20151220,Syd Sixers,Hurricanes,Syd Sixers,95 runs,Sydney,20-Dec-15,897701,0,0,2015
20151221,Scorchers,Strikers,Strikers,4 wickets,Perth,21-Dec-15,897705,0,0,2015
20151222,Hurricanes,Heat,Hurricanes,20 runs,Hobart,22-Dec-15,897707,0,0,2015
20151223,Melb Reneg,Syd Sixers,Syd Sixers,3 wickets,Melbourne (Docklands),23-Dec-15,897709,0,0,2015
20151226,Scorchers,Heat,Scorchers,9 wickets,Perth,26-Dec-15,897711,0,0,2015
20151227,Syd Sixers,Melb Stars,Melb Stars,5 wickets,Sydney,27-Dec-15,897713,0,0,2015
20151228,Syd Thunder,Strikers,Syd Thunder,7 wickets,Sydney,28-Dec-15,897715,0,0,2015
20151229,Heat,Hurricanes,Hurricanes,15 runs,Brisbane,29-Dec-15,897717,0,0,2015
20151230,Melb Reneg,Scorchers,Scorchers,10 wickets,Melbourne (Docklands),30-Dec-15,897719,0,0,2015
20151231,Strikers,Syd Sixers,Strikers,5 wickets,Adelaide,31-Dec-15,897721,0,0,2015
20160101,Hurricanes,Syd Thunder,Hurricanes,11 runs,Hobart,1-Jan-16,897723,0,0,2015
20160102,Scorchers,Syd Sixers,Scorchers,9 wickets,Perth,2-Jan-16,897727,0,0,2015
20160102,Melb Stars,Melb Reneg,Melb Stars,7 wickets,Melbourne,2-Jan-16,897725,0,0,2015
20160103,Heat,Syd Thunder,Heat,6 wickets,Brisbane,3-Jan-16,897729,0,0,2015
20160104,Hurricanes,Melb Reneg,Melb Reneg,5 wickets,Hobart,4-Jan-16,897731,0,0,2015
20160105,Strikers,Scorchers,Strikers,36 runs,Adelaide,5-Jan-16,897733,0,0,2015
20160106,Melb Stars,Hurricanes,Melb Stars,8 wickets,Melbourne,6-Jan-16,897735,0,0,2015
20160107,Syd Thunder,Scorchers,Scorchers,30 runs,Sydney,7-Jan-16,897737,0,0,2015
20160108,Heat,Strikers,Strikers,8 wickets,Brisbane,8-Jan-16,897739,0,0,2015
20160109,Melb Reneg,Melb Stars,Melb Stars,8 wickets,Melbourne (Docklands),9-Jan-16,897741,0,0,2015
20160110,Syd Sixers,Heat,Heat,6 runs,Sydney,10-Jan-16,897745,0,0,2015
20160110,Hurricanes,Scorchers,Scorchers,1 run,Hobart,10-Jan-16,897743,0,0,2015
